file,page_num,Clear,Trash,Noisy,Empty,Non-text,total_word_count,total_char_count,avg_word_count,avg_char_count,avg_garbage_density,avg_lang_score,avg_perplex,avg_symbol,avg_upper,avg_repeated,avg_ldl_fuses,avg_gibberish,avg_word_weird,avg_quality_score,main_lang
CTX196505021,5,6,0,1,0,1,43,248,6.1429,35.4286,0.0349,0.8765,595.8586,0.2857,0.0,0.0,0.0,0.0,0.0143,0.7368,ces_Latn
CTX196508106,86,20,0,0,0,1,172,980,8.6,49.0,0.0098,0.9939,482.5525,0.05,0.0,0.0,0.0,0.0,0.0029,0.8135,ces_Latn
CTX196607206F,17,13,0,1,0,8,83,452,5.9286,32.2857,0.0209,0.9193,926.4771,0.0,0.0,0.0,0.0,0.1429,0.0,0.7457,ces_Latn
CTX196609097,52,23,0,4,0,2,201,1234,7.4444,45.7037,0.016,0.9451,469.9233,0.1852,0.0,0.0,0.0,0.1481,0.0096,0.7067,ces_Latn
CTX196610961C,8,0,1,0,0,0,1,5,1.0,5.0,0.0,0.9967,12887.18,0.0,0.0,0.0,0.0,0.0,0.0,0.705,vie_Latn
CTX196701111,1,17,3,2,0,1,69,389,3.1364,17.6818,0.0116,0.9004,5564.8868,0.0455,0.0455,0.0,0.0,0.0,0.0,0.7156,ces_Latn
CTX196703423D,21,10,2,5,0,3,33,166,1.9412,9.7647,0.0107,0.798,57990.2706,0.0,0.0,0.0,0.0,0.0,0.0,0.6634,ces_Latn
CTX196705744,89,6,5,1,0,31,71,212,5.9167,17.6667,0.0113,0.8918,5133.2967,0.0833,0.0,0.0,0.0,0.0,0.0,0.5524,ces_Latn
CTX196706503A,256,1,0,2,0,0,13,30,4.3333,10.0,0.0636,0.964,1966.9167,0.6667,0.0,0.0,0.0,0.0,0.0267,0.4789,deu_Latn
CTX196706890,47,10,2,4,0,6,46,205,2.875,12.8125,0.027,0.711,3587.3806,0.125,0.0,0.0,0.0,0.0625,0.0188,0.657,ces_Latn
CTX196801560,1,31,1,2,0,2,347,2050,10.2059,60.2941,0.0037,0.9833,3330.9932,0.0588,0.0,0.0,0.0588,0.0588,0.0013,0.8211,ces_Latn
CTX196804313,30,42,0,5,0,3,208,1426,4.4255,30.3404,0.0195,0.9489,650.5779,0.1064,0.0,0.0,0.0213,0.0638,0.0066,0.778,ces_Latn
CTX196805740,19,26,4,5,0,1,275,1719,7.8571,49.1143,0.0413,0.9002,546.1849,0.3714,0.0,0.0,0.0,0.2286,0.0204,0.7563,ces_Latn
CTX196806061D,2,28,0,0,0,2,211,1300,7.5357,46.4286,0.0032,0.9871,274.0907,0.0,0.0,0.0,0.0,0.0,0.0,0.761,ces_Latn
