file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX194201336,95,0,12,1,0,1
CTX194201336,96,0,15,2,0,3
CTX194201336,97,0,11,4,0,3
CTX194201336,98,0,11,3,0,1
CTX194201336,99,0,11,3,0,3
CTX194201336,100,0,12,2,0,1
CTX194201336,101,0,17,5,0,1
CTX194201336,102,0,11,2,0,4
CTX194201336,103,0,2,4,0,8
CTX194201336,104,0,0,4,0,0
CTX194201336,105,0,13,4,0,1
CTX194201336,106,0,14,3,0,2
CTX194201336,107,0,12,3,0,1
CTX194201336,108,0,11,3,0,1
CTX194201336,109,0,11,2,0,2
CTX194201336,110,0,11,3,0,1
CTX194201336,111,0,15,4,0,4
CTX194201336,112,0,11,3,0,1
CTX194201336,113,0,11,2,0,1
CTX194201336,114,0,11,4,0,0
CTX194201336,115,0,14,5,0,1
CTX194201336,116,0,15,4,0,1
CTX194201336,117,0,11,4,0,1
CTX194201336,118,0,11,2,0,1
CTX194201336,119,1,10,3,0,2
CTX194201336,120,0,11,4,0,2
CTX194201336,121,0,11,2,0,3
CTX194201336,122,0,11,2,0,1
CTX194201336,123,0,12,2,0,8
CTX194201336,124,0,12,2,0,2
CTX194201336,125,0,12,2,0,2
CTX194201336,126,0,11,3,0,1
CTX194201336,127,0,11,4,0,2
CTX194201336,128,0,12,2,0,2
CTX194201336,129,0,11,3,0,1
CTX194201336,130,0,13,3,0,1
CTX194201336,131,0,11,3,0,2
CTX194201336,132,0,12,4,0,2
CTX194201336,133,0,11,3,0,2
CTX194201336,134,0,10,3,0,1
CTX194201336,135,0,10,3,0,1
CTX194201336,136,0,11,2,0,1
CTX194201336,137,0,21,5,0,1
CTX194201336,138,1,13,8,0,4
CTX194201336,139,0,13,2,0,1
CTX194201336,140,0,13,4,0,3
CTX194201336,141,0,12,1,0,3
CTX194201336,142,0,10,3,0,1
CTX194201336,143,0,12,2,0,1
CTX194201336,144,0,11,4,0,2
CTX194201336,145,0,13,1,0,1
CTX194201336,146,0,11,2,0,2
CTX194201336,147,0,12,2,0,2
CTX194201336,148,0,10,4,0,3
CTX194201336,149,0,12,2,0,2
CTX194201336,150,0,11,3,0,2
CTX194201336,151,0,11,3,0,1
CTX194201336,152,0,11,3,0,2
CTX194201336,153,0,10,4,0,1
CTX194201336,154,0,3,5,0,3
CTX194201336,155,0,12,4,0,4
CTX194201336,156,0,12,2,0,4
CTX194201336,157,0,12,3,0,3
CTX194201336,158,0,11,3,0,2
CTX194201336,159,0,12,2,0,2
CTX194201336,160,0,12,4,0,3
CTX194201336,161,0,12,2,0,1
CTX194201336,162,0,12,3,0,2
CTX194201336,163,0,14,3,0,1
CTX194201336,164,0,13,2,0,2
CTX194201336,165,0,12,3,0,1
CTX194201336,166,0,10,5,0,2
CTX194201336,167,0,12,3,0,1
CTX194201336,168,0,10,3,0,1
CTX194201336,169,0,11,4,0,1
CTX194201336,170,0,10,3,0,1
CTX194201336,171,0,11,2,0,3
CTX194201336,172,0,11,2,0,1
CTX194201336,173,0,12,2,0,1
CTX194201336,174,0,11,3,0,1
CTX194201336,175,0,13,1,0,2
CTX194201336,176,0,12,1,0,2
CTX194201336,177,0,10,3,0,2
CTX194201336,178,0,11,3,0,1
CTX194201336,179,0,10,3,0,3
CTX194201336,180,0,11,3,0,1
CTX194201336,181,0,13,2,0,3
CTX194201336,182,0,12,3,0,3
